R,182.5,err,187.5,err,192.5,err,197.5,err,202.5,err,207.5,err,212.5,err,217.5,err
mm,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
362.24,97373.84,8557.73,97393.5,7838.15,89207.22,8375.14,94955.53,6855.71,106597.37,7176.6,97549.16,6412.47,85784.93,6383.86,81882.34,5978.41
392.87,82611.79,7061.4,118208.6,9780.52,102442.27,7543.97,110353.47,8144.95,104121.4,8027.84,103801.27,8223.87,98806.54,8030.39,78586.73,5486.53
423.79,97235.59,8284.7,118362.52,6426.94,120894.24,7658.76,125873.79,6855.06,111517.57,6415.8,115576.8,6696.7,103695.66,6367.66,91707.7,5796.16
453.28,112125.76,7586.25,121190.51,6166.78,115967.27,6447.57,115654.4,5013.19,122332.54,6549.39,124950.62,4963.96,105311.94,5543.94,96752.89,5236
481.85,87006.01,5883.04,121949.36,7451.18,118619.41,6890.18,116258.68,6284.4,112707.47,6886.77,115506.56,5824.06,99594.2,5170.14,94279.08,5240.19
507.67,95401.45,7528.42,111400.14,6438.51,97809.5,5952.65,106083.71,4963.15,107182.94,5989.43,109158.23,5503.71,106196.28,4834.79,102831.03,5228.59
532.11,56286.92,5631.24,79177.11,5802.04,76438.16,6010.76,86377.85,5100.38,85288.28,5685.57,102277.11,6307.95,94442.44,5236.14,97283.63,5519.59
590,14898.01,1466.23,25727.06,3026.84,10176.41,2438.36,23507.51,1532.72,9032.25,2239.47,19933.62,1984.25,27302.21,2188.73,24970,1658.08
